pharmacy|药房；配药学，药剂学；制药业；一批备用药品
magnitude|大小；量级；[地震] 震级；重要；光度
orthodox|正统的；传统的；惯常的；东正教的 n. 正统的人；正统的事物
colleague|同事，同僚
assignee|代理人；受托人；分配到任务的人
brittle|易碎的，脆弱的；易生气的
assertion|断言，声明；主张，要求；坚持；认定
confront|面对；遭遇；比较
peruse|详细考察；精读
deport|驱逐出境；举止；放逐 n. (Deport)人名；(捷)德波特；(法)德波尔
ludicrous|滑稽的；荒唐的
advantage|优势；利益；有利条件 v. 获利
rag|破布；碎屑 v. 戏弄；责骂
amusement|消遣，娱乐；乐趣
intermittent|间歇的；断断续续的；间歇性
exhaust|排出；耗尽；使精疲力尽；彻底探讨 n. 排气；废气；排气装置
suspicious|可疑的；怀疑的；多疑的
regress|逆行，倒退；复归 n. 回归；退回
souvenir|纪念品；礼物 vt. 把…留作纪念
recumbent|斜倚的；休息的
neural|神经的；神经系统的；背的；神经中枢的 n. (Neural)人名；(捷)诺伊拉尔
amateur|爱好者；业余爱好者；外行 adj. 业余的；外行的
sealant|[机] 密封剂
subside|平息；减弱；沉淀；坐下
haste|匆忙；急忙；轻率 vi. 匆忙；赶紧 vt. 赶快
numeration|计算；数字的读法；[数] 命数法；编号
depraved|堕落的；腐化的；卑鄙的 v. 使腐化（deprave的过去式和过去分词）
zeal|热情；热心；热诚
preamble|序文；电报报头；先兆 v. 作序文
testimonial|证明书；推荐书 adj. 证明的；褒奖的；表扬的
upturn|情况好转 vt. 使……转朝上；翻转 vi. 向上
alight|下来；飞落 adj. 烧着的；点亮着的
indiscriminate|任意的；无差别的；不分皂白的
rationality|合理性；合理的行动
sterling|纯正的；英币的；纯银制的 n. 英国货币；标准纯银
element|元素；要素；原理；成分；自然环境
obstinate|顽固的；倔强的；难以控制的
writhe|翻滚；蠕动 n. 翻滚；扭动；苦恼
embody|体现，使具体化；具体表达 n. (Embody)人名；(英)恩博迪
ascetic|苦行的；禁欲主义的 n. 苦行者；禁欲者
equilibrium|均衡；平静；保持平衡的能力
dominant|显性的；占优势的；支配的，统治的 n. 显性
rob|抢劫；使…丧失；非法剥夺
recant|宣布放弃；公开认错
interpreter|解释者；口译者；注释器
verification|确认，查证；核实
brusque|唐突的；直率的；无礼的 n. (Brusque)人名；(法)布吕斯克
dissect|切细；仔细分析
branch|分支；出现分歧 n. 树枝，分枝；分部；支流
cathode|阴极（电解）
turmoil|混乱，骚动
mandate|授权；命令，指令；委托管理；受命进行的工作 v. 授权；托管
trivial|不重要的，琐碎的；琐细的
lugubrious|悲哀的，悲惨的
space|空间；太空；距离 v. 留间隔
rationalism|理性主义；唯理主义
epitaph|碑文，墓志铭
resilience|恢复力；弹力；顺应力
cognate|[地质] 同源的；同类的 n. 同族；同根词
winsome|迷人的；可爱的；引人注目的
appellation|称呼；名称；名目
agitation|激动；搅动；煽动；烦乱
unanimity|同意，全体一致
commotion|骚动；暴乱
astute|机敏的；狡猾的，诡计多端的
pepsin|胃蛋白酶
retort|反驳，顶嘴；曲颈瓶 v. 反驳，反击
subconscious|潜意识的；下意识的 n. 潜在意识；下意识心理活动
enormous|庞大的，巨大的；凶暴的，极恶的
foster|培养；养育，抚育；抱（希望等） adj. 收养的，养育的 n. (Foster)人名；(英、捷、意、葡、法、德、俄、西)福斯特
ethereal|优雅的；轻飘的；缥缈的；超凡的
irresolute|优柔寡断的；踌躇不定的；无决断的
convoke|召集；召集…开会
codicil|遗嘱的附录
reserved|保留的，预订的；缄默的，冷淡的，高冷的；包租的
morose|郁闷的；孤僻的
drowsy|昏昏欲睡的；沉寂的；催眠的
gibberish|乱语；快速而不清楚的言语
dogmatist|教条主义者；独断家；独断论者
alien|外国的；相异的，性质不同的；不相容的 n. 外国人，外侨；外星人 v. 让渡，转让
cartographer|制图师；地图制作者
embitter|使怨恨；使难受；使受苦
obtrusive|突出的；强迫人的；冒失的
emulate|仿真；模仿；尽力赶上；同…竞争 n. 仿真；仿效
regale|取悦；盛情款待 n. 款待
innumerable|无数的，数不清的
calorie|卡路里（热量单位）
nemesis|报应；给与惩罚的人；天罚
conundrum|难题；谜语
whine|发牢骚；哭诉；嘎嘎响；发呜呜声 n. 抱怨；牢骚；哀鸣
incriminate|控告；暗示有罪
extinction|灭绝；消失；消灭；废止
penalty|罚款，罚金；处罚
vigilance|警戒，警觉；警醒症
analyst|分析者；精神分析医师；分解者
joint|关节；接缝；接合处，接合点；（牛，羊等的腿）大块肉 adj. 共同的；连接的；联合的，合办的 v. 连接，贴合；接合；使有接头
furtive|鬼鬼祟祟的，秘密的
authentic|真正的，真实的；可信的
contract|收缩；感染；订约 n. 合同；婚约
philosophy|哲学；哲理；人生观
defiant|挑衅的；目中无人的，蔑视的；挑战的
uphold|支撑；鼓励；赞成；举起
infringe|侵犯；违反；破坏
genome|基因组；染色体组
equestrian|马的；骑马的；骑术的 n. 骑手；骑马者
stationary|固定的；静止的；定居的；常备军的 n. 不动的人；驻军
imitate|模仿，仿效；仿造，仿制
tangent|切线的，相切的；接触的；离题的 n. [数] 切线，[数] 正切
vain|徒劳的；自负的；无结果的；无用的
interference|干扰，冲突；干涉
violent|暴力的；猛烈的
quotation|[贸易] 报价单；引用语；引证
impurity|杂质；不纯；不洁
elevated|提高的；高尚的；严肃的；欢欣的 v. 提高；抬起；振奋；提拔（elevate的过去分词） n. 高架铁路
polish|磨光，擦亮；擦亮剂；优雅，精良 v. 擦亮，变光滑 adj. 波兰的
decay|衰退，[核] 衰减；腐烂，腐朽 n. 衰退，[核] 衰减；腐烂，腐朽
disciple|门徒，信徒；弟子
grip|紧握；柄；支配；握拍方式；拍柄绷带 v. 紧握；夹紧
prepossessing|给人好感的；有魅力的；引人注意的 v. 预先影响；使先具有（prepossess的现在分词）
besmear|弄脏，涂抹；玷污
recourse|求援，求助；[经] 追索权；依赖；救生索
repudiate|拒绝；否定；批判；与…断绝关系；拒付
centenary|一百年；百年纪念 adj. 一百年的
assailant|攻击者 adj. 袭击的；攻击的
brigand|强盗；土匪；盗贼
jeopardize|危害；使陷危地；使受危困
sanctimonious|假装虔诚的；假装圣洁的；假装诚实的
errant|不定的；周游的；错误的；偏离正路的
alias|别名，化名 adv. 别名叫；化名为
predation|捕食；掠夺
drub|用棒打；硬灌；打击
abeyance|中止，停顿；归属待定，暂搁
patriotism|爱国主义；爱国心，爱国精神
pervasive|普遍的；到处渗透的；流行的
instrument|仪器；工具；乐器；手段；器械
accede|加入；同意；就任
innocuous|无害的；无伤大雅的
amphitheater|竞技场；[建] 圆形露天剧场；古罗马剧场
demeanor|风度；举止；行为
commodity|商品，货物；日用品
callous|无情的；麻木的；硬结的；起老茧的 v. 使冷酷无情；使硬结；使生茧 n. 硬皮；老茧
countermand|取消；反对命令 v. 取消，撤消；下反对命令召回
slander|诽谤；造谣中伤 n. 诽谤；中伤
deride|嘲笑；嘲弄
sugar|糖；食糖；甜言蜜语 v. 加糖于；粉饰
replenish|补充，再装满；把…装满；给…添加燃料
recitation|背诵；朗诵；详述；背诵的诗
atrocity|暴行；凶恶，残暴
wield|使用；行使；挥舞
speculate|推测；投机；思索
wittingly|有意地，存心地
maintain|维持；继续；维修；主张；供养
lucubration|刻苦钻研；苦心而成的著作
malediction|坏话，诅咒
vindicate|维护；证明…无辜；证明…正确
invidious|诽谤的；不公平的；引起反感的；易招嫉妒的
melodious|悦耳的；旋律优美的
fluid|流动的；流畅的；不固定的 n. 流体；液体
insidious|阴险的；隐伏的；暗中为害的；狡猾的
concurrent|并发的；一致的；同时发生的 n. [数] 共点；同时发生的事件
appeal|呼吁，恳求；上诉；诉诸，求助；有吸引力，迎合爱好；（体育比赛中）诉诸裁判 n. 呼吁，请求；吸引力，感染力；上诉；诉诸裁判
derelict|玩忽职守的；无主的；被抛弃了的 n. 遗弃物；玩忽职守者；被遗弃的人
despoil|掠夺，剥夺；夺取
derive|源于；得自；获得 n. (Derive)人名；(法)德里夫
nonplus|迷惑；困惑 v. 使困惑
charter|特许；包租；发给特许执照 n. 宪章；执照；特许状
futile|无用的；无效的；没有出息的；琐细的；不重要的
undervalue|低估之价值；看轻
jaded|厌倦的；疲倦不堪的 v. 厌倦（jade的过去分词）；变得疲倦；精疲力竭
omnivore|[动] 杂食动物；不偏食的人
fuse|融合；熔化，熔融 n. 保险丝，熔线；导火线，雷管
nauseate|作呕；厌恶；产生恶感
distend|使…膨胀；使…扩张
superlative|最高的；最高级的；过度的 n. 最高级；最好的人；最高程度；夸大话
scurrilous|下流的；说话粗鄙恶劣的；无礼的
advocate|提倡，主张，拥护 n. 提倡者；支持者；律师
eliminate|消除；排除
posit|安置；假定 n. 假设；设想
artifice|诡计；欺骗；巧妙的办法
diabolical|恶魔的
lively|活泼的；生动的；真实的；生气勃勃的 n. (Lively)人名；(英)莱夫利
malicious|恶意的；恶毒的；蓄意的；怀恨的
rue|后悔；悲伤 n. 芸香；后悔
vitiate|损害，弄坏；使无效；污染
superintend|监督；管理；主管；指挥
ancillary|辅助的；副的；从属的 n. 助手；附件
odds|几率；胜算；不平等；差别
significant|重大的；有效的；有意义的；值得注意的；意味深长的 n. 象征；有意义的事物
preordain|注定；预先决定
sagacious|睿智的，聪慧的；有远见的，聪慧的
graduate|授予…学位；分等级；标上刻度 n. 研究生；毕业生 adj. 毕业的；研究生的
bibliophile|藏书家；爱书的人
autonomous|自治的；自主的；自发的
conjugal|婚姻的；结婚的；夫妻之间的
negligible|微不足道的，可以忽略的
heedful|注意的；深切注意的；深切留心的
scrutiny|详细审查；监视；细看；选票复查
retract|缩回；缩进；取消 n. 收缩核
sensitive|敏感的；感觉的；[仪] 灵敏的；感光的；易受伤害的；易受影响的 n. 敏感的人；有灵异能力的人
sarcasm|讽刺；挖苦；嘲笑
bridle|缰绳；马勒；系带；约束物 v. 控制；给装马勒
transposition|[数] 移项；调换；换置；变调
premonition|预告；征兆
paralysis|麻痹；无力；停顿
metabolism|[生理] 新陈代谢
fretful|焦躁的；烦燥的；起波纹的
dilapidate|毁坏；荒废；浪费
emergence|出现，浮现；发生；露头
belabor|痛打；抨击；过度说明；反复讨论
medium|中间的，中等的；半生熟的 n. 方法；媒体；媒介；中间物
perverse|堕落的，不正当的；倔强的；违反常情的
gland|腺
reliance|信赖；信心；受信赖的人或物
aviary|鸟类饲养场；大型鸟舍
panegyric|颂词，赞颂
obviate|排除；避免；消除
debilitate|使衰弱；使虚弱
biased|有偏见的；结果偏倚的，有偏的
condone|宽恕；赦免
scruple|微量；顾虑；踌躇 v. 有顾忌；踌躇
wrest|用力拧；抢夺；歪曲 n. 扭，拧
infuse|灌输；使充满；浸渍
timbre|[声] 音色；音质；音品
impute|归罪于，归咎于；嫁祸于
spineless|没有骨气的；无脊椎的；懦弱的
infuriate|激怒；使大怒 adj. 狂怒的
emergency|紧急情况；突发事件；非常时刻 adj. 紧急的；备用的
unaffected|不受影响的；自然的；真挚的；不矫揉造作的
bowler|圆顶礼帽；投球手；玩滚球的人
grasshopper|蚱蜢；[植保] 蝗虫；小型侦察机 vi. 见异思迁；蚱蜢似地跳
clandestine|秘密的，私下的；偷偷摸摸的
pinnacle|高峰；小尖塔；尖峰；极点 v. 造小尖塔；置于尖顶上；置于高处
proclaim|宣告，公布；声明；表明；赞扬
gruff|粗暴的；粗哑的；脾气坏的 vt. 粗鲁地说；生硬地说 vi. 粗鲁地说；生硬地说话 n. 格拉夫（英国珠宝品牌）
aptitude|天资；自然倾向；适宜
radiance|辐射；光辉；发光；容光焕发
deplore|谴责；悲悼；哀叹；对…深感遗憾
morality|道德；品行，美德
literary|文学的；书面的；精通文学的
ion|[化学] 离子
gesticulation|手势；姿势；示意动作
preeminence|卓越；杰出
clamorous|吵闹的；大声要求的
enthrall|迷住，使着迷
complacent|自满的；得意的；满足的
collaborate|合作；勾结，通敌
solicitude|焦虑；渴望；担心
prim|拘谨的；整洁的；呆板的 v. 使显得一本正经；把…打扮得整整齐齐 n. (Prim)人名；(法、德、匈、捷、瑞典、西、葡)普里姆
aboriginal|土著的；原始的 n. 土著居民；土生生物
soothe|安慰；使平静；缓和
elusive|难懂的；易忘的；逃避的；难捉摸的
kiosk|凉亭；公用电话亭；报摊
discretionary|任意的；自由决定的
gallop|疾驰；飞奔 v. 飞驰；急速进行；急急忙忙地说
flux|[流][机] 流量；变迁；不稳定；流出 v. 使熔融；用焊剂处理
repulse|拒绝；驱逐；憎恶 n. 拒绝；击退
spheroid|球状体；回转椭球体
dominance|优势；统治；支配
insure|确保，保证；给…保险
assimilate|吸收；使同化；把…比作；使相似
dismissal|解雇；免职
irk|使烦恼；使厌倦
acute|严重的，[医] 急性的；敏锐的；激烈的；尖声的
oxygen|[化学] 氧气，[化学] 氧
breach|违背，违反；缺口 v. 违反，破坏；打破
pursue|继续；从事；追赶；纠缠
suasion|说服，劝告
accessory|配件；附件；[法] 从犯 adj. 副的；同谋的；附属的
commentary|评论；注释；评注；说明
repository|贮藏室，仓库；知识库；智囊团
terrestrial|地球的；陆地的，[生物] 陆生的；人间的 n. 陆地生物；地球上的人
strenuous|紧张的；费力的；奋发的；艰苦的；热烈的
atrocious|凶恶的，残暴的
adoration|崇拜；爱慕
corroborate|证实；使坚固
successive|连续的；继承的；依次的；接替的
plague|瘟疫；灾祸；麻烦；讨厌的人 v. 折磨；使苦恼；使得灾祸
methane|[有化] 甲烷；[能源] 沼气
tremulous|胆小的；战栗的；震颤的
ravine|沟壑，山涧；峡谷
counter|柜台；对立面；计数器；（某些棋盘游戏的）筹码 v. 反击，还击；反向移动，对着干；反驳，回答 adj. 相反的 adv. 反方向地；背道而驰地
differentiation|变异，[生物] 分化；区别
reign|统治；支配；盛行；君临 n. 统治；统治时期；支配
accompaniment|伴奏；伴随物
ire|忿怒 vt. 使发怒
charge|费用；电荷；掌管；控告；命令；负载 v. 使充电；使承担；指责；装载；对…索费；向…冲去
disdain|蔑视 v. 鄙弃
trajectory|[物] 轨道，轨线；[航][军] 弹道
incomprehensible|费解的；不可思议的；无限的
stultify|使变无效；使显得愚笨；使无价值
artistic|艺术的；风雅的；有美感的
surfeit|过度；饮食过度；恶心（由于饮食过度所引起） v. 使饮食过度；使厌腻；使过度沉溺于
gloomy|黑暗的；沮丧的；阴郁的
implausible|难以置信的，不像真实的
espouse|支持；嫁娶；赞成；信奉
zero|零点，零度 num. 零
residue|残渣；剩余；滤渣
outgoing|对人友好的，开朗的；出发的，外出的；即将离职的；乐于助人的 n. 外出；流出；开支 v. 超过；优于（outgo的ing形式）
litigant|诉讼当事人 adj. 诉讼的
apparition|幽灵；幻影；鬼怪；离奇出现的东西
chronological|按年代顺序排列的；依时间前后排列而记载的
vapid|无趣味的；无生气的；索然乏味的
stock|股份，股票；库存；血统；树干；家畜 adj. 存货的，常备的；平凡的 v. 进货；备有；装把手于…
reform|改革，改良；改正 v. 改革，革新；重新组成 adj. 改革的；改革教会的
fervent|热心的；强烈的；炽热的；热烈的
bilateral|双边的；有两边的
compelling|引人注目的；强制的；激发兴趣的 v. 强迫；以强力获得（compel的ing形式）
dissentious|争吵的；好争论的
bombard|轰炸；炮击 n. 射石炮
sebaceous|分泌脂质的；脂肪的，脂肪质的；似油脂或皮脂的
elapse|消逝；时间过去 n. 流逝；时间的过去
productive|能生产的；生产的，生产性的；多产的；富有成效的
polarize|（使）极化；（使）偏振；（使）两极分化
ruddy|红的；红润的 adv. 极度；非常 vt. 使变红 vi. 变红 n. (Ruddy)人名；(英)拉迪
sap|[植] 树液；精力，元气；活力；坑道 v. 使衰竭，使伤元气；挖掘以破坏基础
philanthropic|博爱的；仁慈的
visual|视觉的，视力的；栩栩如生的
philanthropy|博爱，慈善；慈善事业
cant|斜面；伪善之言；黑话；角落 v. 倾斜；讲黑话 adj. 行话的；哀诉声的；假仁假义的
combination|结合；组合；联合；[化学] 化合
pulverize|粉碎；使成粉末；研磨
fulsome|令人生厌的；过度的
mundane|世俗的，平凡的；世界的，宇宙的
line|路线，航线；排；绳 v. 排成一行；划线于；以线条标示；使…起皱纹
jubilant|欢呼的；喜洋洋的
afire|燃烧的；着火的 adv. 燃烧着；着火地
fortunate|幸运的；侥幸的；吉祥的；带来幸运的
apathy|冷漠，无兴趣，漠不关心；无感情
atone|赎罪；弥补；偿还
precaution|预防，警惕；预防措施 vt. 警惕；预先警告
reticent|沉默的；有保留的；谨慎的
demure|端庄的；娴静的；严肃的；假装正直的 n. (Demure)人名；(法)德米尔
symmetrical|匀称的，对称的
revert|回复；重提；返祖遗传；归还 n. 恢复原状者
pile|堆；大量；建筑群 v. 累积；打桩于
disprove|反驳，证明…是虚假的
molecule|[化学] 分子；微小颗粒，微粒
revocation|取消；撤回；废除
zenith|顶峰；顶点；最高点
robust|强健的；健康的；粗野的；粗鲁的
embolden|使有胆量，使大胆
choleric|易怒的；暴躁的；胆汁质的
machination|阴谋；诡计
revere|敬畏；尊敬；崇敬
encroach|蚕食，侵占
hallmark|特点；品质证明 v. 给…盖上品质证明印记；使具有…标志
quintessence|精华；典范；第五元素（被视为地、水、火、风以外之构成宇宙的元素）
chagrin|懊恼；委屈；气愤 v. 使…懊恼
zest|风味；热心；强烈的兴趣 v. 给…调味
arrange|安排；排列；整理
assemble|集合，聚集；装配；收集
cornea|[解剖] 角膜
spate|洪水；一阵；大雨；突然迸发
agitate|摇动；骚动；使…激动
tour|旅游，旅行；巡回演出 v. 旅行，在……旅游；在……作巡回演出
blithesome|愉快的
tout|兜售；招徕；刺探赛马情报 n. 侦查者；兜售者
anecdote|轶事；奇闻；秘史
cerebellum|[解剖] 小脑
factious|好捣乱的；好搞派系的；源于派别的
artistry|艺术性；工艺；艺术技巧；艺术效果；艺术工作
obdurate|顽固的，执拗的；冷酷无情的
overcome|克服；胜过
iconoclast|偶像破坏者；提倡打破旧习的人
acceleration|加速，促进；[物] 加速度
poignant|尖锐的；辛酸的；深刻的；切中要害的 n. (Poignant)人名；(法)普瓦尼昂
pungent|辛辣的；刺激性的；刺鼻的；苦痛的；尖刻的
heat|高温；压力；热度；热烈 v. 使激动；把…加热
restitution|恢复；赔偿；归还
awry|错误的；扭曲的 adv. 歪曲地；歪斜地；错误地
mordent|涟音；波音
dejected|沮丧的，灰心的
upshot|结果，结局；要点
relegate|把降低到；归入；提交
narcissistic|自恋的；自我陶醉的
intellectual|智力的；聪明的；理智的 n. 知识分子；凭理智做事者
sloth|怠惰，懒惰；[脊椎] 树懒
heedless|不注意的；不留心的
arboriculture|树木的培植/栽培
fulminate|爆炸；电闪；怒喝 n. 雷酸盐；烈性炸药
dwarf|变矮小 n. 侏儒，矮子 adj. 矮小的
resonance|[力] 共振；共鸣；反响
retrace|追溯；折回；重描
dogged|顽强的；顽固的 vt. 跟踪；尾随（dog的过去式）
diminutive|小的，小型的，微小的 n. 爱称；指小词；身材极小的人
symmetry|对称（性）；整齐，匀称
facile|（言语或理论）轻率的，未经深思熟虑的
dissolve|使溶解；使分解；使液化 n. 叠化画面；画面的溶暗
repetition|重复；背诵；副本
stoic|斯多葛学派哲学家；禁欲主义者；恬淡寡欲的人，不以苦乐为意的人 adj. 坚忍的，苦修的；斯多葛派的；禁欲主义的
gross|总共的；粗野的；恶劣的；显而易见的 v. 总共收入 n. 总额，总数
allegory|寓言
artless|天真的；朴实的；无虚饰的
reciprocate|报答；互换；互给
virus|[病毒] 病毒；恶毒；毒害
quarantine|检疫；隔离；使隔离 n. 检疫；隔离；检疫期；封锁
temporary|暂时的，临时的 n. 临时工，临时雇员
superintendent|监督人；负责人；主管；指挥者
remiss|怠慢的；迟缓的；不小心的
eclipse|使黯然失色；形成蚀 n. 日蚀，月蚀；黯然失色
equality|平等；相等；[数] 等式
virtu|古董；艺术品爱好
dramatic|戏剧的；急剧的；引人注目的；激动人心的
reprimand|谴责；训斥；申诉 v. 谴责；训斥；责难
august|威严的；令人敬畏的 n. 八月（简写为Aug）
immerse|沉浸；使陷入
suffrage|选举权；投票；参政权；代祷；赞成票
truculent|好斗的；野蛮的；言词刻毒的
bailiff|法警；执行官；区镇的地方长官
indignant|愤愤不平的；义愤的
paramount|最重要的，主要的；至高无上的 n. 最高统治者
grievance|不满，不平；委屈；冤情
affectation|做作；矫揉造作；假装
neuron|[解剖] 神经元，神经单位
savor|尽情享受；使有风味；加调味品于；品尝，欣赏 n. 滋味；气味；食欲
quagmire|沼泽，沼泽地；无法脱身的困境
unconscionable|不合理的；昧着良心的；肆无忌惮的；过度的
posse|一队；民防团；地方武装团队
nutriment|营养物；促进生长的东西
bombast|夸大的言辞 adj. 夸大的
chateau|（法国封建时代的）城堡；（尤指法国的）别墅
